step,potential_energy,temperature
593000,-4553.000000000024,1.0
594000,-4570.400000000023,1.0
595000,-4524.000000000022,1.0
596000,-4466.000000000021,1.0
597000,-4547.20000000002,1.0
598000,-4495.000000000019,1.0
599000,-4466.000000000021,1.0
600000,-4570.400000000023,1.0
601000,-4477.6000000000195,1.0
602000,-4442.80000000002,1.0
603000,-4442.800000000021,1.0
604000,-4460.20000000002,1.0
605000,-4506.600000000021,1.0
606000,-4390.60000000002,1.0
607000,-4466.000000000024,1.0
608000,-4413.800000000021,1.0
609000,-4460.200000000023,1.0
610000,-4437.000000000021,1.0
611000,-4448.600000000023,1.0
612000,-4437.000000000022,1.0
613000,-4402.200000000021,1.0
614000,-4454.400000000022,1.0
615000,-4524.000000000022,1.0
616000,-4466.00000000002,1.0
617000,-4500.80000000002,1.0
618000,-4547.200000000023,1.0
619000,-4495.000000000023,1.0
620000,-4506.600000000021,1.0
621000,-4460.200000000022,1.0
622000,-4442.800000000021,1.0
623000,-4454.400000000023,1.0
624000,-4466.00000000002,1.0
625000,-4477.6000000000195,1.0
626000,-4535.60000000002,1.0
627000,-4558.80000000002,1.0
628000,-4570.400000000021,1.0
629000,-4518.20000000002,1.0
630000,-4500.800000000019,1.0
631000,-4564.600000000024,1.0
632000,-4541.400000000022,1.0
633000,-4564.600000000025,1.0
634000,-4634.2000000000235,1.0
635000,-4628.400000000022,1.0
636000,-4605.200000000023,1.0
637000,-4605.200000000023,1.0
638000,-4576.200000000024,1.0
639000,-4640.000000000024,1.0
640000,-4593.600000000025,1.0
641000,-4640.000000000022,1.0
642000,-4628.400000000023,1.0
643000,-4663.2000000000235,1.0
644000,-4680.600000000022,1.0
645000,-4744.400000000022,1.0
646000,-4808.2000000000235,1.0
647000,-4709.600000000022,1.0
648000,-4703.800000000025,1.0
649000,-4790.800000000025,1.0
650000,-4854.600000000025,1.0
651000,-4843.0000000000255,1.0
652000,-4848.8000000000275,1.0
653000,-4808.200000000026,1.0
654000,-4843.000000000026,1.0
655000,-4854.600000000027,1.0
656000,-4854.600000000027,1.0
657000,-4802.400000000025,1.0
658000,-4860.400000000027,1.0
659000,-4837.200000000025,1.0
660000,-4837.200000000026,1.0
661000,-4848.800000000026,1.0
662000,-4848.800000000027,1.0
663000,-4814.000000000026,1.0
664000,-4918.400000000029,1.0
665000,-4959.000000000029,1.0
666000,-4982.200000000029,1.0
667000,-4901.000000000029,1.0
668000,-4825.600000000027,1.0
669000,-4825.600000000027,1.0
670000,-4767.600000000024,1.0
671000,-4785.0000000000255,1.0
672000,-4814.000000000026,1.0
673000,-4819.800000000025,1.0
674000,-4715.400000000022,1.0
675000,-4883.600000000027,1.0
676000,-4837.200000000025,1.0
677000,-4802.400000000025,1.0
678000,-4785.000000000025,1.0
679000,-4848.8000000000275,1.0
680000,-4790.800000000027,1.0
681000,-4750.200000000025,1.0
682000,-4767.600000000026,1.0
683000,-4738.600000000025,1.0
684000,-4750.2000000000235,1.0
685000,-4785.000000000026,1.0
686000,-4761.800000000026,1.0
687000,-4773.400000000027,1.0
688000,-4843.0000000000255,1.0
689000,-4825.600000000024,1.0
690000,-4843.000000000025,1.0
691000,-4872.000000000027,1.0
692000,-4814.0000000000255,1.0
693000,-4767.600000000027,1.0
694000,-4773.400000000022,1.0
695000,-4767.600000000024,1.0
696000,-4814.000000000023,1.0
697000,-4866.200000000024,1.0
698000,-4883.600000000022,1.0
699000,-4790.800000000023,1.0
700000,-4848.800000000025,1.0
701000,-4837.2000000000235,1.0
702000,-4848.800000000026,1.0
703000,-4790.800000000024,1.0
704000,-4843.000000000023,1.0
705000,-4825.600000000022,1.0
706000,-4877.800000000023,1.0
707000,-4866.2000000000235,1.0
708000,-4802.4000000000215,1.0
709000,-4843.000000000023,1.0
710000,-4906.800000000024,1.0
711000,-4860.400000000022,1.0
712000,-4825.60000000002,1.0
713000,-4877.800000000021,1.0
714000,-4901.000000000022,1.0
715000,-4906.800000000021,1.0
716000,-4872.000000000024,1.0
717000,-4843.000000000021,1.0
718000,-4889.400000000025,1.0
719000,-4895.2000000000235,1.0
720000,-4866.2000000000235,1.0
721000,-4872.000000000024,1.0
722000,-4848.800000000027,1.0
723000,-4877.800000000025,1.0
724000,-4889.400000000024,1.0
725000,-4831.400000000022,1.0
726000,-4790.80000000002,1.0
727000,-4779.200000000021,1.0
728000,-4796.600000000021,1.0
729000,-4831.40000000002,1.0
730000,-4767.600000000019,1.0
731000,-4831.400000000021,1.0
732000,-4819.800000000022,1.0
733000,-4848.800000000022,1.0
734000,-4825.600000000022,1.0
735000,-4843.0000000000255,1.0
736000,-4779.2000000000235,1.0
737000,-4819.800000000025,1.0
738000,-4860.400000000026,1.0
739000,-4860.400000000027,1.0
740000,-4814.000000000026,1.0
741000,-4854.600000000026,1.0
742000,-4883.600000000025,1.0
743000,-4872.000000000022,1.0
744000,-4814.000000000023,1.0
745000,-4848.800000000026,1.0
746000,-4860.400000000027,1.0
747000,-4825.600000000026,1.0
748000,-4918.400000000028,1.0
749000,-4831.400000000024,1.0
750000,-4825.600000000026,1.0
751000,-4883.600000000026,1.0
752000,-4808.200000000025,1.0
753000,-4872.000000000027,1.0
754000,-4889.400000000028,1.0
755000,-4866.200000000026,1.0
756000,-4877.800000000027,1.0
757000,-4866.200000000025,1.0
758000,-4854.600000000024,1.0
759000,-4901.0000000000255,1.0
760000,-4854.600000000025,1.0
761000,-4877.800000000024,1.0
762000,-4866.200000000022,1.0
763000,-4866.200000000022,1.0
764000,-4848.800000000023,1.0
765000,-4796.600000000023,1.0
766000,-4802.400000000023,1.0
767000,-4738.600000000021,1.0
768000,-4744.400000000022,1.0
769000,-4738.600000000022,1.0
770000,-4756.000000000019,1.0
771000,-4756.000000000019,1.0
772000,-4767.600000000023,1.0
773000,-4790.80000000002,1.0
774000,-4732.800000000021,1.0
775000,-4802.400000000023,1.0
776000,-4819.800000000024,1.0
777000,-4750.200000000023,1.0
778000,-4796.600000000023,1.0
779000,-4750.200000000021,1.0
780000,-4732.800000000022,1.0
781000,-4761.800000000024,1.0
782000,-4750.200000000022,1.0
783000,-4744.400000000021,1.0
784000,-4837.200000000024,1.0
785000,-4802.40000000002,1.0
786000,-4837.200000000022,1.0
787000,-4785.000000000021,1.0
788000,-4825.600000000023,1.0
789000,-4808.200000000021,1.0
790000,-4767.600000000023,1.0
791000,-4831.4000000000215,1.0
792000,-4825.600000000024,1.0
793000,-4802.400000000024,1.0
794000,-4767.600000000024,1.0
795000,-4808.200000000023,1.0
796000,-4877.80000000002,1.0
797000,-4906.800000000023,1.0
798000,-4825.600000000021,1.0
799000,-4906.800000000023,1.0
800000,-4866.2000000000235,1.0
801000,-4889.400000000022,1.0
802000,-4924.2000000000235,1.0
803000,-4935.800000000023,1.0
804000,-4912.600000000023,1.0
805000,-4883.600000000024,1.0
806000,-4872.000000000023,1.0
807000,-4918.400000000024,1.0
808000,-4848.800000000023,1.0
809000,-4877.800000000025,1.0
